                               Labor Force Data by County, 2007 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2007        24,383       23,577        806      3.3
CN0100300000000   01     003   Baldwin County, AL                                2007        82,659       80,099      2,560      3.1
CN0100500000000   01     005   Barbour County, AL                                2007        10,334        9,684        650      6.3
CN0100700000000   01     007   Bibb County, AL                                   2007         8,791        8,432        359      4.1
CN0100900000000   01     009   Blount County, AL                                 2007        26,629       25,780        849      3.2
CN0101100000000   01     011   Bullock County, AL                                2007         3,653        3,308        345      9.4
CN0101300000000   01     013   Butler County, AL                                 2007         9,099        8,539        560      6.2
CN0101500000000   01     015   Calhoun County, AL                                2007        54,861       52,709      2,152      3.9
CN0101700000000   01     017   Chambers County, AL                               2007        15,474       14,469      1,005      6.5
CN0101900000000   01     019   Cherokee County, AL                               2007        11,984       11,484        500      4.2
CN0102100000000   01     021   Chilton County, AL                                2007        19,737       19,067        670      3.4
CN0102300000000   01     023   Choctaw County, AL                                2007         5,183        4,875        308      5.9
CN0102500000000   01     025   Clarke County, AL                                 2007        10,358        9,730        628      6.1
CN0102700000000   01     027   Clay County, AL                                   2007         6,113        5,775        338      5.5
CN0102900000000   01     029   Cleburne County, AL                               2007         6,483        6,246        237      3.7
CN0103100000000   01     031   Coffee County, AL                                 2007        21,077       20,275        802      3.8
CN0103300000000   01     033   Colbert County, AL                                2007        25,386       24,216      1,170      4.6
CN0103500000000   01     035   Conecuh County, AL                                2007         4,965        4,646        319      6.4
CN0103700000000   01     037   Coosa County, AL                                  2007         4,686        4,415        271      5.8
CN0103900000000   01     039   Covington County, AL                              2007        17,070       16,409        661      3.9
CN0104100000000   01     041   Crenshaw County, AL                               2007         6,546        6,264        282      4.3
CN0104300000000   01     043   Cullman County, AL                                2007        39,367       38,047      1,320      3.4
CN0104500000000   01     045   Dale County, AL                                   2007        20,250       19,450        800      4.0
CN0104700000000   01     047   Dallas County, AL                                 2007        15,555       14,259      1,296      8.3
CN0104900000000   01     049   DeKalb County, AL                                 2007        31,013       29,689      1,324      4.3
CN0105100000000   01     051   Elmore County, AL                                 2007        35,805       34,620      1,185      3.3
