FIPS,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,Teen Birth Rate,% Uninsured,% With Annual Mammogram,% Vaccinated,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
42117,18.639919934,4.4446324128,5.3155888205,5.3971486762,23.424900883,34.8,8,24.2,20.929410464,8,20.196995324,7.0275744903,52,44,19.1,95498,22047,21.893491124,119.82157263,7.1,11.972704715,80.944873022,33.4
42119,17.708277057,4.0463260601,4.6286109476,5.1048951049,20.265422582,29.9,7.7,20.1,21.431328267,10,10.139118133,7.8016150834,57,58,11.6,111440,25261,12.843805198,66.923952082,9.4,11.836734694,73.586292694,27.8
42121,19.360240092,4.5641331503,5.441421655,7.6745527986,24.076983506,35.7,8.1,26.7,21.879925143,10,25.740156679,7.009010854,44,53,18.2,90729,22385,22.600896861,134.595836,9,9.9657924743,80.909701994,27
42123,17.573072134,4.2291973538,5.0528356694,8.2595870206,22.261766547,34.1,8.1,20.9,20.830952916,10,21.668909825,5.8849055344,41,49,23.2,92650,23607,21.068978905,185.6443512,7.7,9.9736765136,81.361725974,21.6
42125,15.865770643,3.8813894386,4.8195650888,7.4856733524,19.374381314,38.1,8.3,22.4,21.992175952,37,13.231165723,4.7216952473,41,47,11.8,124360,26961,20.843433094,176.39050858,9.6,10.095953275,81.73681788,40.6
42127,17.966662273,4.1206658536,4.9421864661,7.2043010753,21.261029966,30,8.5,25.6,21.567584888,15,13.839716769,7.4656243849,42,48,17.1,102450,25314,17.94573192,110.88323897,8,14.921875,81.97710919,40.4
42129,15.41456633,3.6453873328,4.8686692376,7.0929840613,19.544119133,30.4,8.2,22.8,22.117507174,62,12.39425826,4.8273770977,43,49,13.9,115169,25688,19.197164651,168.57601932,10.6,10.211337152,83.645663937,37.2
42131,17.157032155,4.1718397082,5.0383832635,6.6261733849,22.595104846,31.2,8.8,30.8,22.125845561,5,17.663518713,5.9811375229,42,50,15.2,107402,26506,22.436260623,135.85233757,8.3,12.268518519,81.973434535,38.8
42133,16.993487111,3.9065129419,4.6709412154,8.3585066135,20.596656567,30.8,8.6,20.9,18.485054659,63,19.377674468,6.4815832875,48,59,12.6,119123,30535,23.397152974,219.86835085,9.8,12.907788878,84.527318068,37.9
15000,15.426355171,3.2169431006,3.3767506227,8.314495451,14.391954141,24.6,7.6,19.6,22.952580395,170,20.043646762,4.7207791404,41,44,11.2,150862,34469,21.420704483,284.29299629,4.3,26.718990121,67.450805136,41.4
15001,17.086174699,3.8267934695,4.3202336769,8.325590039,18.720161587,25.8,7.1,19.9,24.175563792,46,26.316473801,6.4162823417,36,37,18.8,122046,23065,24.735097034,237.33140865,15.8,22.824547014,72.346781036,35.9
15003,17.011941925,3.5857705385,3.60679697,8.4270413503,14.854495356,24.4,8.3,20,21.489882581,66,18.412796097,4.2060735995,44,48,9.2,158426,38305,20.107556854,237.65232449,4.2,27.473109648,64.684201474,45.7
15005,14.624776879,3.2165569077,2.944734411,nan,15.509757821,11.8,7.1,20.7,17.97814868,nan,nan,nan,nan,nan,nan,137750,48500,nan,nan,nan,7.2727272727,35.294117647,0
15007,15.684073078,3.7494937845,3.85205671,7.7551020408,15.756728885,23.6,8,18.3,24.854981331,10,22.110628092,5.050681275,44,41,11.7,138000,32880,21.014123934,235.30394587,3.5,23.443385774,78.737709051,35.2
15009,14.734095294,3.4500853042,3.6785557749,7.7902621723,16.154131436,24.6,8,17.7,23.020415924,48,20.919324578,5.5542066733,36,39,13.4,147852,34773,25.182331086,293.27217125,4.4,28.576682604,74.206019439,27.9
